"Abbrev","Full Title","Trnsl. Title","Publ.","Relat. Jrl.","ISSN","New","High Density","Book Ser","Video Ser","Bibl. Jrl."
"4OR","4OR. A Quarterly Journal of Operations Research","","Springer, Berlin.","","1619-4500","N","N","N","N","N"
"27o Coloq. Bras. Mat.","27o Coloquio Brasileiro de Matematica","27th Brazilian Mathematics Colloquium","Inst. Nac. Mat. Pura Apl. (IMPA), Rio de Janeiro.","","","N","N","Y","N","N"
"28o Coloq. Bras. Mat.","28o Coloquio Brasileiro de Matematica","28th Brazilian Mathematics Colloquium","Inst. Nac. Mat. Pura Apl. (IMPA), Rio de Janeiro.","","","Y","N","Y","N","N"
"Abel Symp.","Abel Symposia","","Springer, Heidelberg.","","","N","N","Y","N","N"
"Abh. Braunschw. Wiss. Ges.","Abhandlungen der Braunschweigischen Wissenschaftlichen Gesellschaft","","J. Cramer Verlag, Braunschweig.","","0068-0737","N","N","N","N","N"
"Abh. Math. Semin. Univ. Hambg.","Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg","","Springer, Berlin.","","0025-5858","N","Y","N","N","N"
"Abstr. Appl. Anal.","Abstract and Applied Analysis","","Hindawi Publ. Corp., New York.","","1085-3375","N","Y","N","N","N"
"Acad. Roy. Belg. Bull. Cl. Sci. (6)","Academie Royale de Belgique. Bulletin de la Classe des Sciences. 6e Serie","","Acad. Roy. Belgique, Brussels.","","0001-4141","N","N","N","N","N"
"ACM Commun. Comput. Algebra","ACM Communications in Computer Algebra","","ACM, New York.","","1932-2232","N","N","N","N","N"
"ACM J. Exp. Algorithmics","ACM Journal of Experimental Algorithmics","","ACM, New York.","","1084-6654","N","Y","N","N","N"
"ACM Trans. Algorithms","ACM Transactions on Algorithms","","ACM, New York.","","1549-6325","N","Y","N","N","N"
"ACM Trans. Comput. Log.","ACM Transactions on Computational Logic","","ACM, New York.","","1529-3785","N","Y","N","N","N"
"ACM Trans. Math. Software","Association for Computing Machinery. Transactions on Mathematical Software","","ACM, New York.","","0098-3500","N","N","N","N","N"
"Acta Anal. Funct. Appl.","Acta Analysis Functionalis Applicata. AAFA. Yingyong Fanhanfenxi Xuebao","","Sci. Press Beijing, Beijing.","","1009-1327","N","Y","N","N","N"
"Acta Appl. Math.","Acta Applicandae Mathematicae. An International Survey Journal on Applying Mathematics and Mathematical Applications","","Springer, Dordrecht.","","0167-8019","N","Y","N","N","N"
"Acta Arith.","Acta Arithmetica","","Polish Acad. Sci. Inst. Math., Warsaw.","","0065-1036","N","Y","N","N","N"
"Acta Automat. Sinica","Acta Automatica Sinica. Zidonghua Xuebao","","Kexue Chubanshe (Science Press), Beijing.","","0254-4156","N","N","N","N","N"
"Acta Cienc. Indica Math.","Acta Ciencia Indica. Mathematics","","Pragati Prakashan, Meerut.","","0970-0455","N","N","N","N","N"
"Acta Cient. Venezolana","Acta Cientifica Venezolana. Asociacion Venezolana para el Avance de la Ciencia","","Asoc. Venezolana Avance Cien., Caracas.","","0001-5504","N","N","N","N","N"
"Acta Comment. Univ. Tartu. Math.","Acta et Commentationes Universitatis Tartuensis de Mathematica","","Univ. Tartu, Fac. Math. Comput. Sci., Tartu.","","1406-2283","N","Y","N","N","N"
"Acta Crystallogr. Sect. A","Acta Crystallographica Section A. Foundations of Crystallography","","Wiley-Blackwell, Oxford.","","0108-7673","N","N","N","N","N"
"Acta Cybernet.","Acta Cybernetica","","Univ. Szeged. Inst. Inform., Szeged.","","0324-721X","N","Y","N","N","N"
"Acta Inform.","Acta Informatica","","Springer, Berlin.","","0001-5903","N","Y","N","N","N"
"Acta Math.","Acta Mathematica","","Inst. Mittag-Leffler, Djursholm.","","0001-5962","N","Y","N","N","N"
"Acta Math. Acad. Paedagog. Nyhazi. (N.S.)","Acta Mathematica. Academiae Paedagogicae Nyiregyhaziensis. New Series","","Coll. Nyhaza., Nyiregyhaza.","","1786-0091","N","Y","N","N","N"
"Acta Math. Appl. Sin.","Acta Mathematicae Applicatae Sinica. Yingyong Shuxue Xuebao","","Chinese Math. Soc., Beijing.","","0254-3079","N","Y","N","N","N"
"Acta Math. Appl. Sin. Engl. Ser.","Acta Mathematicae Applicatae Sinica. English Series","","Springer, Heidelberg.","","0168-9673","N","Y","N","N","N"
"Acta Math. Hungar.","Acta Mathematica Hungarica","","Akad. Kiado, Budapest.","","0236-5294","N","Y","N","N","N"
"Acta Math. Sci. Ser. A Chin. Ed.","Acta Mathematica Scientia. Series A. Shuxue Wuli Xuebao. Chinese Edition","","Kexue Chubanshe (Science Press), Beijing.","See also Acta Math. Sci. Ser. B Engl. Ed.","1003-3998","N","Y","N","N","N"
"Acta Math. Sci. Ser. B Engl. Ed.","Acta Mathematica Scientia. Series B. English Edition","","Sci. Press Beijing, Beijing.","See also Acta Math. Sci. Ser. A Chin. Ed.","0252-9602","N","Y","N","N","N"
"Acta Math. Sin. (Engl. Ser.)","Acta Mathematica Sinica (English Series)","","Springer, Berlin.","","1439-8516","N","Y","N","N","N"
"Acta Math. Sinica (Chin. Ser.)","Acta Mathematica Sinica. Chinese Series","","Chinese Math. Soc., Acta Math. Sinica Ed. Comm., Beijing.","","0583-1431","N","Y","N","N","N"
"Acta Math. Univ. Comenian. (N.S.)","Acta Mathematica Universitatis Comenianae. New Series","","Comenius Univ. Press, Bratislava.","","0862-9544","N","Y","N","N","N"
"Acta Math. Univ. Ostrav.","Acta Mathematica Universitatis Ostraviensis","","Univ. Ostrava, Ostrava.","Continued as Commun. Math.","1214-8148","N","Y","N","N","N"
"Acta Math. Vietnam.","Acta Mathematica Vietnamica","","Vietnam. Acad. Sci. Technol., Inst. Math., Hanoi.","","0251-4184","N","Y","N","N","N"
"Acta Mech. Sin.","Acta Mechanica Sinica","","Springer, Berlin.","","0567-7718","N","N","N","N","N"
